x, y, type     , rotation
0,0,turn,270
0,1,straight,90
0,2,3way,270
0,3,straight,90
0,4,3way,270
0,5,straight,90
0,6,3way,270
0,7,straight,90
0,8,turn,180
1,0,straight,0
1,1,empty,0
1,2,straight,0
1,3,empty,0
1,4,straight,0
1,5,empty,0
1,6,straight,0
1,7,empty,0
1,8,straight,0
2,0,3way,0
2,1,straight,90
2,2,4way,0
2,3,straight,90
2,4,3way,180
2,5,empty,0
2,6,turn,0
2,7,straight,90
2,8,turn,90
3,0,straight,0
3,1,empty,0
3,2,straight,0
3,3,empty,0
3,4,straight,0
3,5,empty,0
3,6,empty,0
3,7,empty,0
3,8,empty,0
4,0,turn,0
4,1,straight,90
4,2,3way,90
4,3,straight,90
4,4,turn,90
4,5,empty,0
4,6,empty,0
4,7,empty,0
4,8,empty,0
