tag_ID, x, y, position, rotation
142,4,0,4,90
152,5,0,6,180
151,6,0,4,90
161,7,0,6,180
58,4,1,2,0
141,6,1,2,0
160,2,2,4,90
90,3,2,7,90
46,4,2,4,90
197,5,2,6,180
14,6,2,4,90
15,7,2,6,180
66,2,3,2,0
140,3,3,0,270
199,4,3,2,0
198,5,3,0,270
16,6,3,2,0
13,7,3,0,270
159,2,4,4,90
47,4,4,4,90
44,5,4,6,180
260,7,4,6,180
138,8,4,7,90
148,9,4,6,180
149,2,5,2,0
139,3,5,0,270
45,4,5,2,0
48,5,5,0,270
62,6,5,2,0
147,7,5,0,270
158,9,5,0,270
136,10,6,7,90
146,11,6,6,180
156,11,7,0,270
261,7,8,6,180
64,6,9,2,0
68,7,9,0,270
243,4,14,2,0
241,5,14,0,270
242,4,13,4,90
157,6,14,2,0
65,7,14,0,270
132,7,13,6,180
61,8,14,2,0
144,9,14,0,270
57,9,13,6,180
155,11,11,0,270
145,11,10,6,180
135,10,10,4,90
263,9,11,0,270
262,9,10,6,180
134,8,11,2,0
264,8,10,4,90
133,3,9,0,270
143,2,9,2,0
153,2,8,4,90
231,5,16,0,270
