x, y, type     , rotation
0,0,empty,0
0,1,empty,0
0,2,empty,0
0,3,empty,0
0,4,empty,0
0,5,empty,0
0,6,empty,0
0,7,empty,0
0,8,empty,0
0,9,empty,0
0,10,empty,0
0,11,turn,270
0,12,straight,90
0,13,turn,180
0,14,empty,0
0,15,empty,0
0,16,empty,0
0,17,empty,0
0,18,empty,0
0,19,empty,0
1,0,empty,0
1,1,empty,0
1,2,empty,0
1,3,empty,0
1,4,empty,0
1,5,empty,0
1,6,empty,0
1,7,empty,0
1,8,empty,0
1,9,empty,0
1,10,empty,0
1,11,straight,0
1,12,empty,0
1,13,straight,0
1,14,empty,0
1,15,empty,0
1,16,empty,0
1,17,empty,0
1,18,empty,0
1,19,empty,0
2,0,turn,270
2,1,straight,90
2,2,3way,270
2,3,straight,90
2,4,3way,270
2,5,straight,90
2,6,straight,90
2,7,straight,90
2,8,3way,270
2,9,straight,90
2,10,turn,180
2,11,turn,0
2,12,straight,90
2,13,3way,90
2,14,straight,90
2,15,turn,180
2,16,empty,0
2,17,empty,0
2,18,empty,0
2,19,empty,0
3,0,straight,0
3,1,empty,0
3,2,straight,0
3,3,empty,0
3,4,straight,0
3,5,empty,0
3,6,empty,0
3,7,empty,0
3,8,straight,0
3,9,empty,0
3,10,turn,0
3,11,turn,180
3,12,empty,0
3,13,empty,0
3,14,empty,0
3,15,straight,0
3,16,empty,0
3,17,empty,0
3,18,empty,0
3,19,empty,0
4,0,3way,0
4,1,straight,90
4,2,4way,0
4,3,straight,90
4,4,4way,0
4,5,straight,90
4,6,turn,180
4,7,empty,0
4,8,straight,0
4,9,empty,0
4,10,empty,0
4,11,turn,0
4,12,straight,90
4,13,3way,270
4,14,straight,90
4,15,4way,0
4,16,straight,90
4,17,3way,270
4,18,straight,90
4,19,turn,180
5,0,straight,0
5,1,empty,0
5,2,straight,0
5,3,empty,0
5,4,straight,0
5,5,empty,0
5,6,straight,0
5,7,empty,0
5,8,straight,0
5,9,empty,0
5,10,empty,0
5,11,empty,0
5,12,empty,0
5,13,straight,0
5,14,empty,0
5,15,straight,0
5,16,empty,0
5,17,straight,0
5,18,empty,0
5,19,straight,0
6,0,3way,0
6,1,straight,90
6,2,4way,0
6,3,straight,90
6,4,3way,180
6,5,empty,0
6,6,turn,0
6,7,straight,90
6,8,3way,180
6,9,empty,0
6,10,turn,270
6,11,straight,90
6,12,straight,90
6,13,3way,180
6,14,empty,0
6,15,straight,0
6,16,empty,0
6,17,straight,0
6,18,empty,0
6,19,straight,0
7,0,straight,0
7,1,empty,0
7,2,straight,0
7,3,empty,0
7,4,straight,0
7,5,empty,0
7,6,empty,0
7,7,empty,0
7,8,straight,0
7,9,empty,0
7,10,straight,0
7,11,empty,0
7,12,empty,0
7,13,straight,0
7,14,empty,0
7,15,straight,0
7,16,empty,0
7,17,straight,0
7,18,empty,0
7,19,straight,0
8,0,straight,0
8,1,empty,0
8,2,turn,0
8,3,straight,90
8,4,3way,90
8,5,straight,90
8,6,turn,180
8,7,empty,0
8,8,turn,0
8,9,straight,90
8,10,4way,0
8,11,straight,90
8,12,straight,90
8,13,3way,180
8,14,empty,0
8,15,straight,0
8,16,empty,0
8,17,straight,0
8,18,empty,0
8,19,straight,0
9,0,straight,0
9,1,empty,0
9,2,empty,0
9,3,empty,0
9,4,empty,0
9,5,empty,0
9,6,straight,0
9,7,empty,0
9,8,empty,0
9,9,empty,0
9,10,straight,0
9,11,empty,0
9,12,empty,0
9,13,straight,0
9,14,empty,0
9,15,straight,0
9,16,empty,0
9,17,straight,0
9,18,empty,0
9,19,straight,0
10,0,turn,0
10,1,straight,90
10,2,straight,90
10,3,straight,90
10,4,straight,90
10,5,straight,90
10,6,3way,90
10,7,straight,90
10,8,straight,90
10,9,straight,90
10,10,3way,90
10,11,straight,90
10,12,straight,90
10,13,turn,90
10,14,empty,0
10,15,turn,0
10,16,straight,90
10,17,3way,90
10,18,straight,90
10,19,turn,90
