id,   x,  y,  pos, rotation
545,  0,  1,    8,    45
28,   0,  3,    15,   0
40,   0,  3,    14,   90
26,   0,  4,    15,   270
67,   0,  4,    14,   0
99,   0,  5,    15,   90
547,  0,  6,    11,   -45
544,  1,  0,    8,    45
27,   1,  3,    16,   90
41,   1,  4,    13,   270
551,  1,  4,    12,   270
100,  1,  5,    16,   270
39,   2,  0,    16,   180
546,  2,  2,    10,   -135
125,  2,  2,    15,   90
16,   2,  3,     4,   90
77,   2,  3,    15,   0
76,   2,  4,    14,   -90
15,   2,  4,     2,   0
25,   2,  5,    15,   0
24,   2,  6,    14,   -90
61,   2,  6,    13,   0
98,   3,  0,    16,   0
97,   3,  1,    13,   180
14,   3,  3,    16,   180
75,   3,  3,     7,   90
74,   3,  4,    13,   180
13,   3,  4,     0,   -90
550,  3,  4,    12,   -90
549,  3,  4,    17,   180
57,   3,  5,    16,   180
23,   3,  6,    13,   180
66,   3,  6,    0,    -90
96,   4,  2,    15,   90
58,   4,  3,    15,   90
22,   4,  4,    14,   -90
102,  4,  5,    15,   180
101,  4,  6,    14,   0
543,  5,  0,    9,    135
95,   5,  2,    13,   -90
65,   5,  3,    6,    180
20,   5,  3,    16,   90
62,   5,  4,    2,    -90
21,   5,  4,    14,   180
548,  5,  6,    10,   -135
